基金代码,基金名称,截止日期,单位净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,起购金额,原手续费,现手续费,成立日期,基金经理,类型,管理人,资产规模
d400015,东方新能源汽车混合,2021-11-24,4.6818,-1.46,3.47,1.72,0.20,58.43,98.31,315.53,365.06,66.77,524.25,10元,1.50%,0.15%,2011-12-28,李瑞,混合型-偏股,东方基金,201.37亿元（截止至：2021-09-30）
d398021,中海能源策略混合,2021-11-24,1.7638,-3.41,-1.43,7.57,13.71,72.63,98.14,173.03,214.57,77.43,157.61,10元,1.50%,0.15%,2007-03-13,姚晨曦,混合型-偏股,中海基金,16.32亿元（截止至：2021-09-30）
d003834,华夏能源革新股票A,2021-11-24,4.1440,-0.81,4.41,3.60,3.65,43.49,97.90,311.11,413.51,53.31,314.40,10元,1.50%,0.15%,2017-06-07,郑泽鸿,股票型,华夏基金,226.59亿元（截止至：2021-09-30）
d004391,平安转型创新混合C,2021-11-24,3.7274,-1.39,2.02,12.23,16.27,78.21,97.74,223.03,365.87,77.85,304.06,10元,,0.00%,2017-04-14,神爱前,混合型-灵活,平安基金,1.59亿元（截止至：2021-09-30）
d005939,工银新能源汽车混合A,2021-11-24,4.7050,-2.08,1.86,4.71,6.32,62.19,96.73,299.07,370.50,69.51,370.50,10元,1.50%,0.15%,2018-11-14,闫思倩,混合型-偏股,工银瑞信基金,50.83亿元（截止至：2021-09-30）
d006736,国投瑞银先进制造混合,2021-11-24,4.6920,-0.91,4.70,1.26,-2.46,65.49,96.56,302.37,,69.59,369.20,1,0.15,0,2019-01-25,施成,混合型-偏股,国投瑞银基金,43.43亿元（截止至：2021-09-30）
d005940,工银新能源汽车混合C,2021-11-24,4.6065,-2.08,1.86,4.67,6.21,61.86,95.95,295.99,360.70,68.90,360.65,10元,,0.00%,2018-11-14,闫思倩,混合型-偏股,工银瑞信基金,47.25亿元（截止至：2021-09-30）
d005412,金信民长混合A,2021-11-24,2.3199,-2.04,-0.15,17.29,5.93,38.09,95.05,,,63.80,131.99,10元,0.80%,0.08%,2020-05-21,周谧,混合型-灵活,金信基金,1.00亿元（截止至：2021-09-30）
d005413,金信民长混合C,2021-11-24,2.2043,-2.04,-0.15,17.28,5.90,38.02,94.88,,,63.67,120.43,10元,,0.00%,2020-05-21,周谧,混合型-灵活,金信基金,1.37亿元（截止至：2021-09-30）
d005977,中信保诚至兴混合A,2021-11-24,2.9270,-1.21,0.66,4.23,5.94,53.56,91.96,182.28,190.43,57.06,192.70,10元,1.50%,0.15%,2018-06-27,闾志刚,混合型-灵活,中信保诚基金,6.99亿元（截止至：2021-09-30）
d167001,平安鼎泰混合(LOF),2021-11-24,2.2425,-1.19,1.13,-4.20,-0.50,64.80,90.98,190.22,266.42,66.74,124.25,1,0.15,0,2016-07-21,张俊生,混合型-灵活,平安基金,6.02亿元（截止至：2021-09-30）
d005978,中信保诚至兴混合C,2021-11-24,2.8445,-1.22,0.64,4.15,5.74,52.95,90.41,177.73,183.18,55.91,184.45,10元,,0.00%,2018-06-27,闾志刚,混合型-灵活,中信保诚基金,2.01亿元（截止至：2021-09-30）
d002943,广发多因子混合,2021-11-24,3.6596,-0.15,1.31,2.59,7.31,31.09,88.49,217.09,339.73,80.61,314.40,10元,1.50%,0.15%,2016-12-30,唐晓斌,混合型-灵活,广发基金,138.37亿元（截止至：2021-09-30）
d001156,申万菱信新能源汽车混合,2021-11-24,3.0070,-1.89,6.72,5.44,9.75,51.83,87.94,277.80,396.82,53.85,270.63,100元,1.50%,0.15%,2015-05-07,周小波,混合型-灵活,申万菱信基金,47.41亿元（截止至：2021-09-30）
d002083,新华鑫动力灵活配置混合A,2021-11-24,3.6008,-1.68,2.97,3.85,3.60,50.59,87.84,257.93,390.57,54.87,260.08,10元,1.00%,0.10%,2016-06-08,刘彬,混合型-灵活,新华基金,21.76亿元（截止至：2021-09-30）
d005634,汇安行业龙头混合,2021-11-24,2.7334,-1.73,3.40,8.66,8.15,57.67,87.71,176.24,,62.56,173.34,10元,1.50%,0.15%,2019-08-28,邹唯,混合型-偏股,汇安基金,1.78亿元（截止至：2021-09-30）
d002084,新华鑫动力灵活配置混合C,2021-11-24,3.5790,-1.68,2.98,3.85,3.58,50.52,87.68,257.19,388.93,54.73,257.90,10元,0.00%,0.00%,2016-06-08,刘彬,混合型-灵活,新华基金,12.98亿元（截止至：2021-09-30）
d001951,金鹰改革红利混合,2021-11-24,3.5120,-3.04,0.80,-3.12,-1.82,31.19,87.51,232.89,305.07,59.64,251.20,10元,1.50%,0.15%,2015-12-02,韩广哲,混合型-灵活,金鹰基金,48.07亿元（截止至：2021-09-30）
d398051,中海环保新能源混合,2021-11-24,3.1320,-2.31,0.90,4.61,6.76,59.42,86.57,279.02,333.58,59.12,237.33,10元,1.50%,0.15%,2010-12-09,左剑,混合型-灵活,中海基金,23.06亿元（截止至：2021-09-30）
d167002,平安鼎越混合(LOF),2021-11-24,3.1009,-1.26,0.79,-4.16,0.17,60.49,86.07,186.25,286.16,62.70,210.09,1,0.15,0,2016-09-20,张俊生,混合型-灵活,平安基金,1.71亿元（截止至：2021-09-30）
d004925,长信低碳环保行业量化股票A,2021-11-24,2.9413,-2.30,1.21,0.76,2.61,52.60,85.66,248.41,292.91,56.62,194.13,10元,1.50%,0.15%,2017-11-09,左金保,股票型,长信基金,7.37亿元（截止至：2021-09-30）
d168601,汇安裕阳定开混合,2021-11-19,2.0296,,-0.09,6.26,11.44,66.73,85.19,185.65,185.25,60.42,188.79,1,0.15,0,2018-09-27,邹唯,混合型-偏股,汇安基金,2.50亿元（截止至：2021-09-30）
d006154,华安制造先锋混合A,2021-11-24,4.5539,-1.18,5.30,9.13,3.83,70.07,85.03,193.29,,70.17,355.39,1,0.15,0,2018-12-25,蒋璆,混合型-偏股,华安基金,9.38亿元（截止至：2021-09-30）
d550009,信诚中小盘混合,2021-11-24,5.7820,-2.07,-0.33,0.09,3.43,51.24,84.85,245.19,412.13,63.06,553.31,10元,1.50%,0.15%,2010-02-10,孙浩中,混合型-偏股,中信保诚基金,4.95亿元（截止至：2021-09-30）
d040015,华安动态灵活配置混合A,2021-11-24,5.2070,-1.25,4.41,9.67,4.47,69.22,84.84,191.06,315.89,71.34,702.10,10元,1.50%,0.15%,2009-12-22,蒋璆,混合型-灵活,华安基金,9.80亿元（截止至：2021-09-30）
d006977,农银汇理海棠三年定开混合,2021-11-19,1.9843,,-2.78,3.88,9.98,65.13,84.20,291.27,,52.42,321.08,1,0.15,0,2019-04-16,赵诣,混合型-偏股,农银汇理基金,8.02亿元（截止至：2021-09-30）
d090018,大成新锐产业混合,2021-11-24,6.4780,-0.18,1.86,0.62,10.62,45.05,83.93,256.13,367.73,79.55,792.69,10元,1.50%,0.15%,2012-03-20,韩创,混合型-偏股,大成基金,130.97亿元（截止至：2021-09-30）
