基金代码,基金名称,截止日期,单位净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,起购金额,原手续费,现手续费,成立日期,基金经理,类型,管理人,资产规模
d166005,中欧价值发现混合A,2021-11-24,2.3115,-0.09,1.63,2.68,6.71,12.64,13.14,54.39,72.44,19.95,310.60,10元,1.50%,0.15%,--,--,--,--,--
d005636,博时量化多策略股票C,2021-11-24,1.5884,0.20,1.55,-1.68,-1.08,5.63,13.14,60.04,86.06,10.51,58.84,10元,,0.00%,--,--,--,--,--
d003850,中银锦利灵活配置混合A,2021-11-24,1.3934,-0.11,0.77,0.01,-1.27,10.44,13.13,32.78,55.32,9.16,64.06,10元,1.00%,0.10%,--,--,--,--,--
d001241,国寿安保中证500ETF联接,2021-11-24,0.7194,-0.07,2.01,3.05,1.97,10.64,13.13,48.30,68.36,14.90,-28.07,1,0.12,0,--,--,--,--,--
d005351,汇添富行业整合混合,2021-11-24,2.0098,-0.83,-0.51,-1.15,-1.73,2.06,13.13,84.84,133.02,5.31,100.98,1,0.15,0,--,--,--,--,--
d008758,九泰聚鑫混合C,2021-11-24,1.1935,-0.11,0.45,1.62,2.14,7.34,13.13,,,10.51,19.35,10元,,0.00%,--,--,--,--,--
d006382,华夏中证500ETF联接C,2021-11-24,0.8080,-0.05,2.06,3.09,2.06,11.17,13.13,48.80,66.94,14.43,55.38,1,0.00,0,--,--,--,--,--
d002802,广发东财大数据精选混合A,2021-11-24,1.6283,-0.15,1.70,3.22,-3.09,-1.65,13.12,74.99,101.17,10.75,62.83,10元,1.20%,0.12%,--,--,--,--,--
d871003,广发资管价值增长灵活配置混合,2021-11-24,1.6636,-1.78,0.87,3.09,-1.04,7.33,13.12,,,7.76,64.77,1,0.10,0,--,--,--,--,--
d004348,南方中证500ETF联接C,2021-11-24,1.8847,-0.07,2.07,3.16,2.23,11.42,13.12,51.13,69.30,14.61,19.38,1,0.00,0,--,--,--,--,--
d005146,兴银丰润灵活配置混合,2021-11-24,1.4557,-0.53,0.96,6.91,-1.19,7.79,13.11,58.82,65.53,10.08,45.54,10元,1.50%,0.15%,--,--,--,--,--
d002189,农银汇理国企改革混合,2021-11-24,3.0155,0.08,3.36,6.83,5.25,7.93,13.10,97.08,158.97,5.54,201.55,10元,1.50%,0.15%,--,--,--,--,--
d004228,泰信鑫利混合C,2021-11-24,1.2836,0.27,4.45,3.33,3.73,32.60,13.10,20.74,26.09,12.40,28.36,10元,,0.00%,--,--,--,--,--
d004112,创金合信国企活力混合,2021-11-24,1.4700,-0.81,1.45,3.09,3.80,0.73,13.10,62.24,82.76,3.11,57.54,10元,1.50%,0.15%,--,--,--,--,--
d519655,银河服务混合,2021-11-24,2.2720,0.53,0.49,0.80,-3.85,-0.79,13.09,106.55,185.07,6.57,127.20,10元,1.50%,0.15%,--,--,--,--,--
d009003,中银安康平衡养老三年(FOF),2021-11-22,1.1936,0.83,1.87,2.33,4.31,8.77,13.08,,,8.84,19.65,1,0.12,0,--,--,--,--,--
d161914,万家创业板2年定期开放混合A,2021-11-24,1.1467,-0.05,0.48,5.89,-6.55,5.96,13.08,,,9.00,14.67,1,0.15,0,--,--,--,--,--
d160918,大成中小盘混合(LOF)A,2021-11-24,3.9737,-1.07,0.92,3.83,-3.95,3.35,13.08,98.45,155.38,2.05,433.16,1,0.15,0,--,--,--,--,--
d002017,招商瑞丰灵活配置混合发起式C,2021-11-24,1.7820,0.22,0.68,3.73,5.07,10.34,13.07,29.32,44.68,12.43,50.02,1,0.00,0,--,--,--,--,--
d010484,中银量化精选混合C,2021-11-24,1.4082,-0.30,1.54,1.77,-2.30,10.00,13.06,,,13.50,14.97,10元,,0.00%,--,--,--,--,--
d070039,嘉实中证500ETF联接C,2021-11-24,1.5634,-0.07,2.04,3.12,2.13,11.49,13.05,48.88,66.98,15.06,56.34,1,0.00,0,--,--,--,--,--
d001581,华安沪港深通精选灵活配置混合,2021-11-24,2.5660,-0.16,0.31,2.48,-4.79,6.74,13.04,77.82,135.63,6.34,182.29,1,0.15,0,--,--,--,--,--
d004937,中航混改精选混合C,2021-11-24,1.4155,0.06,0.58,0.16,1.52,4.28,13.04,29.83,62.10,7.83,41.55,100元,,0.00%,--,--,--,--,--
d006072,民生加银创新成长混合,2021-11-24,2.3072,-0.82,-0.06,-1.22,0.95,3.92,13.03,87.59,,0.94,130.72,1,0.15,0,--,--,--,--,--
d007216,浙商中华预期高股息C,2021-11-24,1.0956,1.57,0.54,-6.15,-3.43,-2.28,13.02,10.82,,15.12,9.56,1,0.00,0,--,--,--,--,--
d005053,银河量化价值混合A,2021-11-24,1.5455,0.41,3.56,5.65,0.45,2.56,13.02,49.12,92.27,8.55,54.53,10元,1.50%,0.15%,--,--,--,--,--
d460220,华泰柏瑞上证中小盘ETF联接,2021-11-24,1.5562,-0.18,1.43,0.70,-0.21,8.97,13.01,49.30,76.68,10.38,55.62,1,0.15,0,--,--,--,--,--
d002628,招商安博灵活配置混合A,2021-11-24,2.2741,-0.52,0.97,4.09,2.46,2.34,13.01,73.71,132.62,6.00,127.41,10元,1.50%,0.15%,--,--,--,--,--
d005443,国金量化多策略混合,2021-11-24,1.1056,0.13,1.14,0.40,-1.99,9.36,13.01,44.56,46.67,12.06,10.56,10元,1.50%,0.15%,--,--,--,--,--
d005459,银河嘉谊灵活配置混合A,2021-11-24,1.4563,0.21,1.12,1.36,1.07,5.77,13.01,50.12,78.80,10.16,45.63,10元,0.80%,0.08%,--,--,--,--,--
d003851,中银锦利灵活配置混合C,2021-11-24,1.3864,-0.11,0.78,0.01,-1.30,10.38,13.00,32.53,54.88,9.05,63.29,1,0.00,0,--,--,--,--,--
d008293,农银汇理创新医疗混合,2021-11-24,1.5651,1.42,-1.20,-2.28,-3.70,-13.22,13.00,,,3.56,56.51,10元,1.50%,0.15%,--,--,--,--,--
d009879,平安低碳经济混合C,2021-11-24,1.1644,-0.33,0.55,1.47,-0.91,2.79,13.00,,,-3.35,16.44,1,0.00,0,--,--,--,--,--
d006245,嘉实养老2030混合(FOF),2021-11-22,1.5207,0.92,1.35,1.16,4.00,9.36,12.99,46.97,,8.64,52.07,1,0.08,0,--,--,--,--,--
d009875,天弘甄选食品饮料股票A,2021-11-24,1.2190,1.80,2.50,4.32,9.19,-6.67,12.99,,,-1.32,21.90,1,0.12,0,--,--,--,--,--
d002543,长城久益混合A,2021-11-24,1.6358,-0.24,0.81,1.74,1.94,8.30,12.98,46.51,54.45,5.58,63.58,10元,1.50%,0.15%,--,--,--,--,--
d002270,东吴安盈量化混合,2021-11-24,1.3799,-0.16,-0.76,4.65,4.64,12.30,12.97,66.98,98.87,8.18,59.30,10元,1.50%,0.15%,--,--,--,--,--
d501011,汇添富中证中药指数(LOF)A,2021-11-24,1.0777,-0.26,-1.11,-0.32,1.09,2.13,12.97,40.89,35.75,14.08,7.77,1,0.10,0,--,--,--,--,--
d110010,易方达价值成长混合,2021-11-24,2.5774,-0.39,2.18,1.82,0.38,7.40,12.97,59.00,102.88,4.95,245.92,10元,1.50%,0.15%,--,--,--,--,--
d002617,中银益利混合C,2021-11-24,1.5250,-0.13,0.79,-0.07,-1.80,10.75,12.96,32.56,54.82,8.77,68.70,10元,,0.00%,--,--,--,--,--
d005055,华泰柏瑞量化阿尔法A,2021-11-24,1.5841,0.28,2.12,1.68,0.18,7.82,12.96,66.29,92.06,10.99,58.41,10元,1.50%,0.15%,--,--,--,--,--
d003655,信达澳银新财富混合,2021-11-24,1.7010,-0.06,0.89,3.72,3.28,7.86,12.95,59.06,118.00,10.31,120.69,10元,1.50%,0.15%,--,--,--,--,--
d001759,嘉实成长增强混合,2021-11-24,1.7440,-0.63,-1.08,1.51,-2.84,-5.88,12.95,64.22,106.39,0.98,74.40,10元,1.50%,0.15%,--,--,--,--,--
d450009,国富中小盘股票,2021-11-24,2.7310,0.11,0.48,0.44,0.15,-3.16,12.94,71.80,138.51,9.37,393.84,10元,1.50%,0.15%,--,--,--,--,--
d006121,华安双核驱动混合A,2021-11-24,2.3768,0.31,-0.10,-0.61,-1.53,-10.25,12.94,93.52,,-2.52,137.68,1,0.15,0,--,--,--,--,--
d003658,长盛量化多策略灵活配置混合,2021-11-24,1.5120,-0.59,0.07,0.53,0.13,4.49,12.92,39.61,74.60,7.85,51.20,10元,1.50%,0.15%,--,--,--,--,--
d002390,招商安德灵活配置混合C,2021-11-24,1.3706,0.20,0.67,3.51,4.78,9.87,12.92,37.35,50.59,12.11,50.59,10元,,0.00%,--,--,--,--,--
d002616,中银益利混合A,2021-11-24,1.5290,-0.13,0.79,-0.07,-1.80,10.72,12.92,32.78,55.21,8.75,69.12,10元,1.00%,0.10%,--,--,--,--,--
d005042,人保研究精选混合C,2021-11-24,1.8927,-0.27,0.62,3.39,-3.15,10.19,12.92,73.26,112.71,7.48,89.27,10元,,0.00%,--,--,--,--,--
d010301,达诚成长先锋混合A,2021-11-24,1.1463,-2.41,0.37,2.53,-3.99,8.59,12.92,,,8.32,14.63,1,0.15,0,--,--,--,--,--
d005036,银华信息科技量化股票发起式C,2021-11-24,1.3721,-0.54,1.43,4.96,-1.07,9.49,12.91,58.09,116.76,10.87,37.21,10元,,0.00%,--,--,--,--,--
d006063,景顺长城MSCI中国A股国际通,2021-11-24,1.7494,-0.13,0.77,-2.58,-1.40,2.35,12.91,57.09,95.70,7.18,74.94,1,0.15,0,--,--,--,--,--
d519018,汇添富均衡增长混合,2021-11-24,0.9556,0.54,0.89,1.63,-2.68,-1.65,12.90,74.09,126.77,4.68,572.46,10元,1.50%,0.15%,--,--,--,--,--
d005460,银河嘉谊灵活配置混合C,2021-11-24,1.4521,0.21,1.12,1.35,1.04,5.72,12.90,49.81,78.30,10.06,45.21,10元,,0.00%,--,--,--,--,--
d006225,人保量化混合A,2021-11-24,1.6682,-0.61,2.65,1.21,-7.68,8.66,12.89,49.83,67.44,7.65,66.82,10元,1.50%,0.15%,--,--,--,--,--
d010429,中欧睿见混合,2021-11-24,1.1349,-0.46,0.15,4.75,6.60,16.76,12.89,,,14.15,13.48,1,0.15,0,--,--,--,--,--
d005080,海富通量化多因子混合C,2021-11-24,1.8283,0.13,0.98,0.53,2.18,3.87,12.88,64.33,119.69,6.62,82.83,10元,,0.00%,--,--,--,--,--
d008168,汇添富聚焦成长三个月混合FOF,2021-11-22,1.1847,1.57,2.36,2.70,4.41,4.31,12.88,,,4.74,18.47,1,0.12,0,--,--,--,--,--
d000743,红塔红土盛世普益混合发起式,2021-11-24,1.1050,-0.13,0.95,1.67,2.84,7.53,12.85,69.56,89.40,11.59,96.76,1,0.08,0,--,--,--,--,--
d008252,汇安宜创量化精选混合C,2021-11-24,1.6673,-0.05,1.29,-1.89,-1.44,6.53,12.85,,,9.73,66.73,10元,,0.00%,--,--,--,--,--
d110021,易方达上证中盘ETF联接A,2021-11-24,2.0269,-0.24,0.97,0.18,-0.20,7.05,12.84,55.47,81.35,8.80,102.69,1,0.12,0,--,--,--,--,--
d004193,招商中证500指数C,2021-11-24,1.4672,-0.21,2.77,1.71,1.49,12.28,12.84,61.53,83.77,14.37,46.72,1,0.00,0,--,--,--,--,--
d004858,长信量化多策略股票C,2021-11-24,1.9237,-0.16,0.67,-3.26,-8.19,1.20,12.83,66.55,104.00,3.82,59.64,10元,,0.00%,--,--,--,--,--
d006339,银华MSCI中国A股联接A,2021-11-24,1.6072,-0.02,1.02,0.31,2.70,3.95,12.83,55.48,,6.09,60.72,1,0.12,0,--,--,--,--,--
d001190,鹏华弘润混合A,2021-11-24,1.5608,-0.01,0.28,1.02,0.61,10.44,12.82,25.78,36.47,11.26,56.08,10元,1.50%,0.15%,--,--,--,--,--
d005218,华夏聚惠(FOF)A,2021-11-22,1.4355,0.95,1.65,2.84,3.33,7.59,12.82,33.26,45.57,7.70,43.55,1,0.10,0,--,--,--,--,--
d007250,广发养老2050混合(FOF),2021-11-22,1.4336,1.04,1.75,2.87,4.62,6.97,12.82,40.70,,6.11,43.36,1,0.15,0,--,--,--,--,--
d007005,中金新医药股票C,2021-11-24,1.9914,1.47,-0.63,-1.39,-2.98,-10.37,12.81,58.50,,-2.19,99.14,10元,,0.00%,--,--,--,--,--
d009662,平安研究睿选混合C,2021-11-24,1.1783,-0.36,0.54,1.44,-0.84,3.14,12.81,,,-3.02,17.83,1,0.00,0,--,--,--,--,--
d006763,汇添富养老2030混合(FOF),2021-11-22,1.5493,0.66,1.31,0.25,1.86,-1.35,12.78,44.67,,3.52,54.93,1,0.12,0,--,--,--,--,--
d008461,平安盈丰三个月持有混合(FOF)A,2021-11-22,1.5651,0.26,0.74,-2.15,2.72,-0.18,12.78,,,4.49,56.51,1,0.15,0,--,--,--,--,--
d006321,中欧预见养老2035(FOF)A,2021-11-22,1.6868,0.37,0.58,0.59,2.45,5.44,12.77,46.18,67.59,8.19,68.68,1,0.12,0,--,--,--,--,--
d217019,招商深证TMT50ETF联接A,2021-11-24,2.2268,-0.09,1.35,7.73,2.81,7.03,12.76,60.62,121.44,8.04,122.68,1,0.15,0,--,--,--,--,--
d001798,泰康新回报灵活配置混合A,2021-11-24,2.0247,-0.44,0.89,7.90,0.81,-1.14,12.76,80.42,138.96,6.10,102.47,10元,1.20%,0.12%,--,--,--,--,--
d009876,天弘甄选食品饮料股票C,2021-11-24,1.2159,1.81,2.50,4.31,9.13,-6.76,12.76,,,-1.50,21.59,1,0.00,0,--,--,--,--,--
d000526,国泰浓益灵活配置混合A,2021-11-24,1.3920,0.00,0.94,1.61,2.13,8.57,12.75,32.21,48.29,11.01,78.39,10元,0.80%,0.08%,--,--,--,--,--
d005830,建信MSCI联接C,2021-11-24,1.7203,0.06,1.16,0.51,2.92,5.64,12.75,50.57,84.94,6.87,72.01,1,0.00,0,--,--,--,--,--
d009998,上投摩根慧见两年持有期,2021-11-24,1.1673,-0.76,0.67,1.10,-0.19,11.00,12.75,,,5.18,16.73,1,1.50,0,--,--,--,--,--
d002746,汇添富多策略定开混合,2021-11-24,1.9290,-0.72,1.37,3.32,-1.08,3.04,12.74,48.73,57.86,6.05,92.90,1,0.15,0,--,--,--,--,--
d003642,长盛盛丰灵活配置混合C,2021-11-24,1.4133,0.25,0.99,1.09,5.55,3.77,12.73,34.36,45.67,8.12,48.06,10元,,0.00%,--,--,--,--,--
d008201,银华MSCI中国A股联接C,2021-11-24,1.6029,-0.02,1.02,0.30,2.67,3.90,12.73,55.08,,6.00,50.78,1,0.00,0,--,--,--,--,--
d160910,大成创新成长混合(LOF),2021-11-24,1.3070,0.08,1.71,6.87,6.00,10.20,12.72,62.19,106.47,12.40,110.16,1,0.15,0,--,--,--,--,--
d260112,景顺长城能源基建混合,2021-11-24,1.7650,0.63,1.03,0.23,2.80,3.64,12.71,33.50,51.44,13.43,225.12,10元,1.50%,0.15%,--,--,--,--,--
d001256,泓德优选成长混合,2021-11-24,1.8768,-0.07,1.75,1.57,1.37,3.74,12.71,77.90,122.11,8.86,138.84,10元,1.50%,0.15%,--,--,--,--,--
d003580,泰康沪港深价值优选混合,2021-11-24,1.9093,0.39,-1.32,-3.18,-0.70,-2.01,12.70,56.81,97.47,2.44,90.93,1,0.15,0,--,--,--,--,--
d006295,工银养老2035(FOF),2021-11-22,1.6009,0.58,1.33,1.80,2.20,2.42,12.70,48.89,59.67,5.11,60.09,1,0.05,0,--,--,--,--,--
d003279,融通沪港深智慧生活灵活配置混合,2021-11-24,1.4132,-0.52,1.49,1.56,-0.39,6.56,12.69,31.35,45.80,9.52,41.32,1,0.15,0,--,--,--,--,--
d860036,光大阳光混合B,2021-11-24,4.2344,-0.33,0.61,1.35,3.00,12.26,12.69,,,8.50,34.81,1,0.15,0,--,--,--,--,--
d003502,金鹰鑫瑞混合A,2021-11-24,1.3802,0.00,0.12,1.48,3.30,7.90,12.68,20.06,24.84,11.61,38.02,1,0.10,0,--,--,--,--,--
d860001,光大阳光混合A,2021-11-24,4.2331,-0.33,0.61,1.35,3.00,12.26,12.68,,,8.49,34.76,1,0.00,0,--,--,--,--,--
d005953,人保转型新动力混合A,2021-11-24,1.7672,-0.70,0.45,-1.24,-7.92,4.71,12.67,83.12,93.69,4.08,84.93,10元,1.50%,0.15%,--,--,--,--,--
d006532,华泰柏瑞量化阿尔法C,2021-11-24,1.5935,0.28,2.11,1.65,0.10,7.67,12.66,65.54,93.25,10.73,95.09,10元,,0.00%,--,--,--,--,--
d007389,上投摩根研究驱动C,2021-11-24,1.3965,-0.99,0.39,1.73,-6.58,6.42,12.66,,,6.24,39.65,10元,,0.00%,--,--,--,--,--
d009818,红塔红土稳健精选混合C,2021-11-24,1.0986,-0.10,0.55,0.49,1.52,5.15,12.66,,,9.32,14.33,10元,,0.00%,--,--,--,--,--
d005664,鹏扬景欣混合A,2021-11-24,1.6179,0.05,0.30,0.68,-0.36,4.57,12.64,43.84,58.32,8.51,61.79,10元,1.00%,0.10%,--,--,--,--,--
d009275,融通医疗保健行业混合C,2021-11-24,2.7580,1.55,-1.36,-1.32,-3.70,-13.81,12.62,,,-0.76,54.86,10元,,0.00%,--,--,--,--,--
d161907,万家中证红利指数(LOF),2021-11-24,2.2572,0.48,2.59,-0.23,0.57,10.59,12.61,40.09,58.78,21.17,125.72,1,0.15,0,--,--,--,--,--
d007491,南方信息创新混合C,2021-11-24,2.3604,-0.58,1.87,10.49,2.27,18.92,12.61,78.45,,8.81,136.04,1,0.00,0,--,--,--,--,--
d501083,银华科创主题3年封闭混合,2021-11-24,1.9350,-0.65,-0.44,0.83,0.84,-2.41,12.60,83.08,,-0.80,93.48,1,1.50,0,--,--,--,--,--
d001184,易方达新常态灵活配置混合,2021-11-24,0.7600,0.66,1.47,0.13,4.11,-0.91,12.59,75.93,136.02,3.12,-24.00,10元,1.50%,0.15%,--,--,--,--,--
d001306,中欧永裕混合A,2021-11-24,2.1290,-1.80,1.24,15.71,8.62,12.59,12.59,112.69,173.30,4.77,112.90,10元,1.50%,0.15%,--,--,--,--,--
d501076,鹏华科创3年封闭混合,2021-11-24,1.6816,-0.21,0.48,1.97,-0.34,4.86,12.59,60.40,,2.97,68.16,1,1.50,0,--,--,--,--,--
d530006,建信核心精选混合,2021-11-24,3.1160,0.65,2.06,1.20,2.97,0.61,12.57,94.96,184.46,3.99,644.87,10元,1.50%,0.15%,--,--,--,--,--
d004743,易方达上证中盘ETF联接C,2021-11-24,2.0694,-0.24,0.96,0.15,-0.27,6.91,12.56,54.71,80.04,8.55,66.97,1,0.00,0,--,--,--,--,--
d530003,建信优选成长混合A,2021-11-24,2.9715,0.29,-0.15,-0.48,-2.92,-8.15,12.55,71.84,117.93,0.31,692.23,10元,1.50%,0.15%,--,--,--,--,--
d001781,建信现代服务业股票,2021-11-24,2.1000,-0.57,0.62,0.33,-3.36,-3.45,12.54,78.72,135.96,-1.27,110.00,10元,1.50%,0.15%,--,--,--,--,--
d003582,中金量化多策略混合,2021-11-24,1.5181,-0.34,0.16,1.10,0.54,0.94,12.54,59.81,108.02,3.27,75.77,10元,1.50%,0.15%,--,--,--,--,--
d007885,中融中证500ETF联接A,2021-11-24,1.3567,-0.06,1.91,2.80,1.95,10.42,12.54,,,14.28,35.67,1,0.10,0,--,--,--,--,--
d010302,达诚成长先锋混合C,2021-11-24,1.1422,-2.41,0.37,2.51,-4.03,8.48,12.53,,,7.97,14.22,1,0.00,0,--,--,--,--,--
d070022,嘉实领先成长混合,2021-11-24,3.1000,-0.29,-0.77,2.07,-1.84,-5.63,12.52,63.50,104.22,0.29,281.66,10元,1.50%,0.15%,--,--,--,--,--
d501012,汇添富中证中药指数(LOF)C,2021-11-24,1.0622,-0.26,-1.12,-0.37,0.98,1.92,12.51,39.74,34.34,13.67,6.22,1,0.00,0,--,--,--,--,--
d008753,大成兴享平衡养老三年(FOF),2021-11-22,1.1718,0.82,1.60,2.86,4.05,5.59,12.51,,,5.96,17.18,1,0.12,0,--,--,--,--,--
d161915,万家创业板2年定期开放混合C,2021-11-24,1.1394,-0.05,0.47,5.84,-6.67,5.70,12.51,,,8.51,13.94,1,0.00,0,--,--,--,--,--
d001607,英大策略优选A,2021-11-24,2.3999,0.13,0.40,3.48,7.36,13.38,12.49,91.70,163.69,15.41,174.34,10元,0.80%,0.08%,--,--,--,--,--
d005489,中金衡优灵活配置混合A,2021-11-24,1.4647,-0.16,0.16,0.80,2.19,5.70,12.49,35.66,49.09,7.64,51.77,10元,1.50%,0.15%,--,--,--,--,--
d000020,景顺长城品质投资混合,2021-11-24,4.2900,-0.42,0.47,2.90,4.20,2.93,12.48,82.63,170.15,3.42,367.45,10元,1.50%,0.15%,--,--,--,--,--
d001415,信诚新锐混合A,2021-11-24,1.1310,0.09,0.62,1.53,2.26,6.60,12.48,28.07,33.87,10.67,27.17,10元,1.50%,0.15%,--,--,--,--,--
d166027,中欧创业板两年定开混合A,2021-11-24,1.2003,0.38,1.62,7.18,0.09,6.73,12.47,,,12.15,20.03,1,0.15,0,--,--,--,--,--
d009370,浦银安盛睿和优选3个月持有混合(FOF)A,2021-11-22,1.1310,0.50,1.12,1.75,3.70,7.20,12.47,,,9.46,13.10,1,0.15,0,--,--,--,--,--
d002934,泰康恒泰回报混合A,2021-11-24,1.2353,-0.23,0.64,2.24,1.94,7.43,12.45,29.99,38.42,10.40,53.90,10元,1.20%,0.12%,--,--,--,--,--
d002629,招商安博灵活配置混合C,2021-11-24,2.2082,-0.53,0.96,4.04,2.33,2.08,12.45,71.99,129.16,5.52,120.82,10元,,0.00%,--,--,--,--,--
d001105,信达澳银转型创新股票,2021-11-24,1.2560,-0.32,4.06,8.93,-6.13,5.99,12.44,79.43,111.09,1.95,25.60,10元,1.50%,0.15%,--,--,--,--,--
d001191,鹏华弘润混合C,2021-11-24,1.5235,-0.01,0.27,0.99,0.53,10.22,12.44,24.98,35.22,10.91,52.35,10元,1.50%,0.15%,--,--,--,--,--
d519613,银河君尚混合A,2021-11-24,1.6704,0.13,0.94,1.60,1.57,6.28,12.42,54.90,69.10,11.03,67.04,10元,0.80%,0.08%,--,--,--,--,--
d005561,创金合信红利低波动A,2021-11-24,1.4367,1.16,3.39,-3.33,2.75,5.65,12.42,46.71,68.15,20.42,43.67,1,0.15,0,--,--,--,--,--
d008592,天弘沪深300指数增强A,2021-11-24,1.4741,0.00,0.93,-2.20,-1.86,0.22,12.42,,,5.15,47.41,1,0.15,0,--,--,--,--,--
d009360,招商创新增长混合A,2021-11-24,1.1331,0.37,-0.06,1.50,-1.54,-7.27,12.41,,,1.51,13.31,1,0.15,0,--,--,--,--,--
d161612,融通深证成份指数A,2021-11-24,1.3840,-0.14,1.32,2.29,1.54,5.49,12.38,66.85,115.86,7.44,43.59,1,0.12,0,--,--,--,--,--
d001254,泰达宏利新起点混合A,2021-11-24,1.5450,0.00,0.65,2.18,1.18,3.90,12.36,26.23,58.79,7.44,54.50,10元,1.50%,0.15%,--,--,--,--,--
d005219,华夏聚惠(FOF)C,2021-11-22,1.4124,0.95,1.64,2.80,3.23,7.38,12.36,32.21,43.84,7.32,41.24,1,0.00,0,--,--,--,--,--
d001473,建信大安全战略精选股票,2021-11-24,3.1894,0.70,2.07,1.43,4.41,0.78,12.34,93.80,196.91,4.77,218.94,10元,1.50%,0.15%,--,--,--,--,--
d004284,华宝新优选定开混合,2021-11-19,1.3662,,0.17,2.13,0.35,11.63,12.34,18.25,31.58,11.01,36.62,1,0.00,0,--,--,--,--,--
d004231,中欧行业成长混合(LOF)C,2021-11-24,2.3709,-0.37,0.00,0.93,-3.62,-3.37,12.34,81.04,162.18,2.13,188.15,10元,,0.00%,--,--,--,--,--
d673090,西部利得个股精选股票A,2021-11-24,1.8417,0.02,0.77,-0.14,1.64,2.27,12.34,58.30,121.23,6.21,106.29,10元,1.20%,0.12%,--,--,--,--,--
d006408,汇添富消费升级混合,2021-11-24,2.5411,0.86,1.04,0.08,1.86,-7.61,12.34,80.72,,1.80,154.11,1,0.15,0,--,--,--,--,--
d006290,南方养老2035(FOF)A,2021-11-22,1.6728,0.72,1.27,2.01,3.64,4.64,12.34,48.98,66.91,7.55,67.28,1,0.12,0,--,--,--,--,--
d002935,泰康恒泰回报混合C,2021-11-24,1.2888,-0.22,0.64,2.23,1.91,7.37,12.33,29.73,37.71,10.30,60.56,10元,,0.00%,--,--,--,--,--
d002046,信诚新锐混合B,2021-11-24,1.2270,0.00,0.57,1.40,2.16,6.42,12.33,27.65,33.19,10.54,41.18,10元,,0.00%,--,--,--,--,--
d008555,华商龙头优势混合,2021-11-24,1.2610,-0.60,3.12,4.06,9.32,26.20,12.33,,,13.49,26.10,1,0.15,0,--,--,--,--,--
d006322,中欧预见养老2035(FOF)C,2021-11-22,1.6660,0.37,0.57,0.56,2.35,5.23,12.32,45.02,65.61,7.81,66.60,1,0.00,0,--,--,--,--,--
d007886,中融中证500ETF联接C,2021-11-24,1.3524,-0.06,1.91,2.79,1.90,10.33,12.32,,,14.07,35.24,1,0.00,0,--,--,--,--,--
d001104,华安新丝路主题股票A,2021-11-24,2.5210,0.20,0.20,-0.16,-0.67,-11.51,12.31,87.37,202.20,-3.15,163.82,10元,1.50%,0.15%,--,--,--,--,--
d001455,景顺长城中证500ETF联接,2021-11-24,1.0490,0.00,2.04,3.05,1.55,10.54,12.31,53.36,72.82,13.77,4.90,1,0.12,0,--,--,--,--,--
d004409,招商深证TMT50ETF联接C,2021-11-24,2.1924,-0.09,1.35,7.70,2.71,6.82,12.31,59.34,118.80,7.66,46.06,1,0.00,0,--,--,--,--,--
d009126,嘉实基础产业优选股票A,2021-11-24,1.3933,-0.07,-0.29,-2.76,4.78,-1.38,12.31,,,12.54,39.33,10元,1.50%,0.15%,--,--,--,--,--
d270026,广发中小企业300ETF联接A,2021-11-24,1.6157,-0.62,0.24,3.54,2.77,10.60,12.30,60.48,89.26,9.70,61.57,1,0.12,0,--,--,--,--,--
d005954,人保转型新动力混合C,2021-11-24,1.7412,-0.70,0.45,-1.26,-8.02,4.54,12.30,81.70,91.36,3.78,82.21,10元,,0.00%,--,--,--,--,--
d002544,长城久益混合C,2021-11-24,1.5084,-0.25,0.80,1.69,1.77,7.97,12.29,44.75,51.54,5.00,58.16,10元,,0.00%,--,--,--,--,--
d006305,银华尊和养老2035混合(FOF),2021-11-22,1.5940,0.98,1.66,1.30,1.29,5.67,12.29,46.72,,6.22,59.40,1,0.08,0,--,--,--,--,--
d004157,信诚至诚灵活配置混合A,2021-11-24,1.4820,0.00,0.61,1.44,2.14,6.39,12.27,31.97,30.23,10.43,48.20,10元,1.00%,0.10%,--,--,--,--,--
d519616,银河君信混合A,2021-11-24,1.2257,0.20,0.74,1.86,2.86,7.24,12.26,30.86,43.38,9.72,53.89,10元,0.80%,0.08%,--,--,--,--,--
d002808,泓德优势领航混合,2021-11-24,2.2662,-0.02,2.00,1.84,1.26,3.57,12.24,85.15,143.68,9.00,126.62,10元,1.50%,0.15%,--,--,--,--,--
d004232,中欧价值发现混合C,2021-11-24,2.2437,-0.09,1.62,2.61,6.50,12.19,12.24,51.91,68.13,19.09,77.75,10元,,0.00%,--,--,--,--,--
d008236,招商深证100ETF联接A,2021-11-24,1.3508,0.01,0.81,1.47,2.66,1.61,12.24,,,4.59,35.08,1,0.12,0,--,--,--,--,--
d006226,人保量化混合C,2021-11-24,1.6310,-0.62,2.64,1.14,-7.77,8.43,12.23,47.84,63.90,7.11,63.10,10元,,0.00%,--,--,--,--,--
d006822,凯石湛混合A,2021-11-24,1.1944,0.53,5.41,7.28,11.84,6.07,12.23,49.01,,11.78,61.00,1,0.15,0,--,--,--,--,--
d007687,东方成长收益灵活配置混合C,2021-11-24,1.3105,0.51,1.16,-0.05,5.09,10.22,12.23,23.27,,12.68,30.50,10元,,0.00%,--,--,--,--,--
